ID,Label
D5 - 1,Human
D5 - 2,AI
D5 - 3,Human
D5 - 4,Human
D5 - 5,Human
D5 - 6,AI
D5 - 7,Human
D5 - 8,AI
D5 - 9,AI
D5 - 10,AI
D5 - 11,Human
D5 - 12,AI
D5 - 13,AI
D5 - 14,Human
D5 - 15,AI
D5 - 16,Human
D5 - 17,AI
D5 - 18,AI
D5 - 19,Human
D5 - 20,Human
D5 - 21,AI
D5 - 22,AI
D5 - 23,Human
D5 - 24,Human
D5 - 25,AI
D5 - 26,Human
D5 - 27,AI
D5 - 28,AI
D5 - 29,AI
D5 - 30,AI
D5 - 31,Human
D5 - 32,Human
D5 - 33,AI
D5 - 34,Human
D5 - 35,AI
D5 - 36,AI
D5 - 37,Human
D5 - 38,AI
D5 - 39,Human
D5 - 40,AI
D5 - 41,AI
D5 - 42,Human
D5 - 43,AI
D5 - 44,Human
D5 - 45,Human
D5 - 46,Human
D5 - 47,AI
D5 - 48,Human
D5 - 49,Human
D5 - 50,AI
D5 - 51,AI
D5 - 52,AI
D5 - 53,AI
D5 - 54,Human
D5 - 55,Human
D5 - 56,Human
D5 - 57,Human
D5 - 58,AI
D5 - 59,AI
D5 - 60,AI
D5 - 61,Human
D5 - 62,AI
D5 - 63,Human
D5 - 64,AI
D5 - 65,Human
D5 - 66,Human
D5 - 67,AI
D5 - 68,Human
D5 - 69,AI
D5 - 70,AI
D5 - 71,Human
D5 - 72,Human
D5 - 73,Human
D5 - 74,Human
D5 - 75,Human
D5 - 76,AI
D5 - 77,AI
D5 - 78,AI
D5 - 79,AI
D5 - 80,Human
D5 - 81,Human
D5 - 82,Human
D5 - 83,Human
D5 - 84,AI
D5 - 85,Human
D5 - 86,AI
D5 - 87,AI
D5 - 88,AI
D5 - 89,Human
D5 - 90,Human
D5 - 91,AI
D5 - 92,AI
D5 - 93,AI
D5 - 94,AI
D5 - 95,AI
D5 - 96,AI
D5 - 97,AI
D5 - 98,AI
D5 - 99,AI
D5 - 100,AI
D5 - 101,AI
D5 - 102,Human
D5 - 103,Human
D5 - 104,AI
D5 - 105,AI
D5 - 106,AI
D5 - 107,AI
D5 - 108,Human
D5 - 109,AI
D5 - 110,AI
D5 - 111,Human
D5 - 112,Human
D5 - 113,AI
D5 - 114,AI
D5 - 115,Human
D5 - 116,AI
D5 - 117,Human
D5 - 118,AI
D5 - 119,AI
D5 - 120,AI
D5 - 121,Human
D5 - 122,Human
D5 - 123,Human
D5 - 124,Human
D5 - 125,AI
D5 - 126,Human
D5 - 127,AI
D5 - 128,AI
D5 - 129,Human
D5 - 130,AI
D5 - 131,AI
D5 - 132,Human
D5 - 133,Human
D5 - 134,AI
D5 - 135,AI
D5 - 136,Human
D5 - 137,Human
D5 - 138,Human
D5 - 139,AI
D5 - 140,AI
D5 - 141,AI
D5 - 142,Human
D5 - 143,Human
D5 - 144,AI
D5 - 145,AI
D5 - 146,AI
D5 - 147,Human
D5 - 148,Human
D5 - 149,Human
D5 - 150,Human
D5 - 151,AI
D5 - 152,Human
D5 - 153,AI
D5 - 154,Human
D5 - 155,Human
D5 - 156,Human
D5 - 157,AI
D5 - 158,Human
D5 - 159,AI
D5 - 160,Human
D5 - 161,Human
D5 - 162,Human
D5 - 163,AI
D5 - 164,Human
D5 - 165,AI
D5 - 166,Human
D5 - 167,Human
D5 - 168,Human
D5 - 169,AI
D5 - 170,AI
D5 - 171,Human
D5 - 172,AI
D5 - 173,AI
D5 - 174,AI
D5 - 175,Human
D5 - 176,AI
D5 - 177,Human
D5 - 178,AI
D5 - 179,AI
D5 - 180,Human
D5 - 181,AI
D5 - 182,Human
D5 - 183,Human
D5 - 184,Human
D5 - 185,Human
D5 - 186,Human
D5 - 187,Human
D5 - 188,Human
D5 - 189,Human
D5 - 190,Human
D5 - 191,Human
D5 - 192,Human
D5 - 193,Human
D5 - 194,Human
D5 - 195,AI
D5 - 196,AI
D5 - 197,AI
D5 - 198,Human
D5 - 199,AI
D5 - 200,Human
D5 - 201,AI
D5 - 202,Human
D5 - 203,AI
D5 - 204,Human
D5 - 205,AI
D5 - 206,Human
D5 - 207,Human
D5 - 208,Human
D5 - 209,Human
D5 - 210,Human
D5 - 211,Human
D5 - 212,Human
D5 - 213,Human
D5 - 214,AI
D5 - 215,AI
D5 - 216,AI
D5 - 217,Human
D5 - 218,Human
D5 - 219,Human
D5 - 220,Human
D5 - 221,Human
D5 - 222,Human
D5 - 223,Human
D5 - 224,Human
D5 - 225,Human
D5 - 226,AI
D5 - 227,AI
D5 - 228,AI
D5 - 229,AI
D5 - 230,Human
D5 - 231,Human
D5 - 232,Human
D5 - 233,AI
D5 - 234,Human
D5 - 235,Human
D5 - 236,Human
D5 - 237,Human
D5 - 238,Human
D5 - 239,AI
D5 - 240,Human
D5 - 241,AI
