ID	Label
D2-1	AI
D2-2	AI
D2-3	Human
D2-4	AI
D2-5	Human
D2-6	Human
D2-7	Human
D2-8	Human
D2-9	Human
D2-10	Human
D2-11	Human
D2-12	Human
D2-13	Human
D2-14	Human
D2-15	AI
D2-16	AI
D2-17	AI
D2-18	AI
D2-19	Human
D2-20	Human
D2-21	Human
D2-22	Human
D2-23	AI
D2-24	Human
D2-25	AI
D2-26	Human
D2-27	AI
D2-28	AI
D2-29	Human
D2-30	AI
D2-31	Human
D2-32	Human
D2-33	AI
D2-34	AI
D2-35	Human
D2-36	AI
D2-37	Human
D2-38	AI
D2-39	Human
D2-40	AI
D2-41	Human
D2-42	AI
D2-43	Human
D2-44	Human
D2-45	AI
D2-46	AI
D2-47	AI
D2-48	Human
D2-49	AI
D2-50	Human
D2-51	AI
D2-52	Human
D2-53	Human
D2-54	AI
D2-55	Human
D2-56	Human
D2-57	Human
D2-58	AI
D2-59	AI
D2-60	Human
D2-61	Human
D2-62	AI
D2-63	AI
D2-64	Human
D2-65	Human
D2-66	AI
D2-67	AI
D2-68	Human
D2-69	Human
D2-70	Human
D2-71	Human
D2-72	AI
D2-73	AI
D2-74	AI
D2-75	AI
D2-76	Human
D2-77	Human
D2-78	AI
D2-79	Human
D2-80	Human
D2-81	Human
D2-82	Human
D2-83	AI
D2-84	Human
D2-85	Human
D2-86	Human
D2-87	AI
D2-88	Human
D2-89	Human
D2-90	Human
D2-91	AI
D2-92	AI
D2-93	Human
D2-94	Human
D2-95	Human
D2-96	Human
D2-97	Human
D2-98	Human
D2-99	AI
D2-100	Human
